J1,J,R_y,ke_max,Delta,Rmax_max,Rmax_min,phase
0.6306988130484195,0.8,0.7,2.18081e-07,0.00014999999999998348,0.70005,0.6999,0
0.6894191008102029,0.8,0.8,4.45536e-08,6.699999999992823e-05,0.799967,0.7999,0
0.7457358014289261,0.8,0.9,6.96009e-09,2.6999999999999247e-05,0.899885,0.899858,0
1.0482965576835588,0.8,1.5,9.90139e-07,0.00024000000000001798,1.49988,1.49964,0
1.2699208415745595,0.8,2.0,1.13702e-05,0.007199999999999873,1.99982,1.99262,0
1.6640670584415231,0.8,3.0,0.000299462,0.029749999999999943,2.99977,2.97002,1
3.2,0.8,8.0,0.238506,0.5401200000000008,7.99938,7.45926,1
0.2154434690031884,1.0,0.1,0.000855739,0.043931500000000005,0.101025,0.0570935,1
0.34199518933533946,1.0,0.2,0.0221256,0.20363900000000001,0.402563,0.198924,1
0.4481404746557165,1.0,0.3,0.0130559,0.166908,0.466735,0.299827,1
0.5428835233189814,1.0,0.4,0.00329127,0.08807200000000004,0.487997,0.399925,1
0.6299605249474366,1.0,0.5,8.32778e-06,0.0008070000000000022,0.500626,0.499819,0
0.7113786608980126,1.0,0.6,3.05975e-07,0.00018700000000004824,0.599982,0.599795,0
0.7883735163105242,1.0,0.7,9.80496e-08,9.300000000000974e-05,0.699993,0.6999,0
0.8617738760127536,1.0,0.8,2.402e-08,4.799999999993698e-05,0.799948,0.7999,0
0.9321697517861577,1.0,0.9,5.90423e-09,2.0999999999937735e-05,0.899879,0.899858,0
1.3103706971044482,1.0,1.5,4.1785e-07,0.00016000000000016001,1.49988,1.49972,0
1.5874010519681994,1.0,2.0,3.34251e-06,0.0004199999999998649,1.99982,1.9994,0
2.080083823051904,1.0,3.0,6.72286e-05,0.01136999999999988,2.99977,2.9884,1
2.924017738212866,1.0,5.0,0.00156401,0.05611999999999995,4.99961,4.94349,1
0.6839903786706789,2.0,0.2,0.00701765,0.12359900000000001,0.322523,0.198924,1
0.896280949311433,2.0,0.3,0.000161458,0.0013929999999999776,0.30122,0.299827,0
1.0857670466379628,2.0,0.4,1.24837e-07,0.00010100000000001774,0.400026,0.399925,0
1.2599210498948732,2.0,0.5,7.67263e-08,6.40000000000085e-05,0.499883,0.499819,0
1.4227573217960252,2.0,0.6,3.42695e-08,4.599999999999049e-05,0.599841,0.599795,0
1.5767470326210484,2.0,0.7,3.70436e-08,3.2000000000032e-05,0.699932,0.6999,0
1.7235477520255071,2.0,0.8,6.73884e-09,1.999999999990898e-05,0.79992,0.7999,0
1.8643395035723154,2.0,0.9,1.84526e-09,9.99999999995449e-06,0.899868,0.899858,0
2.6207413942088964,2.0,1.5,5.55941e-05,6.000000000017103e-05,1.49988,1.49982,0
3.1748021039363987,2.0,2.0,4.84122e-06,0.00012999999999996348,1.99982,1.99969,0
1.3679807573413578,4.0,0.2,5.51788e-05,9.500000000001174e-05,0.199019,0.198924,0
1.792561898622866,4.0,0.3,5.80305e-07,3.900000000001125e-05,0.299866,0.299827,0
2.1715340932759255,4.0,0.4,1.44803e-08,2.6999999999999247e-05,0.399952,0.399925,0
2.5198420997897464,4.0,0.5,1.08498e-08,2.199999999996649e-05,0.499841,0.499819,0
2.8455146435920504,4.0,0.6,1.4596e-08,1.8000000000073513e-05,0.599813,0.599795,0
3.153494065242097,4.0,0.7,3.33782e-08,1.4000000000069512e-05,0.699914,0.6999,0
3.4470955040510143,4.0,0.8,2.94335e-09,8.999999999925734e-06,0.799909,0.7999,0
3.7286790071446307,4.0,0.9,1.85143e-09,4.999999999921734e-06,0.899863,0.899858,0
5.241482788417793,4.0,1.5,0.298749,0.00035999999999991594,1.49993,1.49957,0
6.3496042078727974,4.0,2.0,5.44727e-08,5.999999999994898e-05,1.99982,1.99976,0
11.696070952851464,4.0,5.0,0.0858909,0.0004900000000001015,4.99961,4.99912,0
1.2926608140191305,6.0,0.1,0.00169663,0.0457475,0.102841,0.0570935,1
2.0519711360120367,6.0,0.2,6.44344e-07,4.600000000001825e-05,0.19897,0.198924,0
2.688842847934299,6.0,0.3,6.16038e-07,2.0999999999993246e-05,0.299848,0.299827,0
3.257301139913888,6.0,0.4,1.19642e-08,1.6000000000016e-05,0.399941,0.399925,0
3.77976314968462,6.0,0.5,5.07869e-08,1.2999999999985246e-05,0.499832,0.499819,0
4.268271965388076,6.0,0.6,8.99531e-09,1.0999999999983245e-05,0.599806,0.599795,0
4.7302410978631455,6.0,0.7,2.80657e-08,9.000000000036756e-06,0.699909,0.6999,0
5.170643256076522,6.0,0.8,1.01919e-08,5.999999999950489e-06,0.799906,0.7999,0
5.593018510716946,6.0,0.9,1.94227e-09,2.9999999999752447e-06,0.899861,0.899858,0
9.524406311809196,6.0,2.0,0.000188219,4.0000000000040004e-05,1.99982,1.99978,0
21.955834260137827,6.0,7.0,9.66538e-06,0.0002199999999996649,6.99946,6.99924,0
1.7235477520255071,8.0,0.1,0.00018393,0.0461035,0.103197,0.0570935,1
2.7359615146827156,8.0,0.2,7.29143e-07,3.500000000000725e-05,0.198959,0.198924,0
3.585123797245732,8.0,0.3,7.08682e-07,1.4000000000014001e-05,0.299841,0.299827,0
4.343068186551851,8.0,0.4,1.02285e-08,1.1000000000038757e-05,0.399936,0.399925,0
5.039684199579493,8.0,0.5,3.00451e-09,1.0000000000010001e-05,0.499829,0.499819,0
5.691029287184101,8.0,0.6,7.63747e-09,8.000000000008e-06,0.599803,0.599795,0
6.306988130484194,8.0,0.7,1.26976e-08,6.000000000061512e-06,0.699906,0.6999,0
6.894191008102029,8.0,0.8,1.99038e-08,4.999999999921734e-06,0.799905,0.7999,0
7.4573580142892615,8.0,0.9,1.46661e-08,2.9999999999752447e-06,0.899861,0.899858,0
10.482965576835586,8.0,1.5,1.87974e-07,1.0000000000065512e-05,1.49988,1.49987,0
12.699208415745595,8.0,2.0,3.39647e-06,2.999999999997449e-05,1.99982,1.99979,0
2.154434690031884,10.0,0.1,0.00459287,0.0461475,0.103241,0.0570935,1
3.4199518933533946,10.0,0.2,7.29051e-07,3.0000000000002247e-05,0.198954,0.198924,0
4.481404746557165,10.0,0.3,9.74082e-07,1.0999999999983245e-05,0.299838,0.299827,0
5.4288352331898135,10.0,0.4,1.18626e-08,9.000000000036756e-06,0.399934,0.399925,0
6.299605249474366,10.0,0.5,4.12504e-09,6.999999999979245e-06,0.499826,0.499819,0
7.113786608980126,10.0,0.6,7.68353e-09,6.000000000061512e-06,0.599801,0.599795,0
7.883735163105242,10.0,0.7,3.40667e-09,5.000000000032756e-06,0.699905,0.6999,0
8.617738760127535,10.0,0.8,2.71776e-07,2.9999999999752447e-06,0.799903,0.7999,0
9.321697517861576,10.0,0.9,3.56631e-08,1.999999999946489e-06,0.89986,0.899858,0
20.800838230519037,10.0,3.0,0.000393761,4.999999999988347e-05,2.99977,2.99972,0
